NOPD_Item,Type_,TypeText,MapX,MapY,TimeCreate,TimeDispatch,TimeClosed,Disposition,DispositionText,BLOCK_ADDRESS,Zip
D3146014,98,DRIVING WHILE UNDER INFLUENCE,3662932,524678,4/24/2014 00:52:58,,4/24/2014 02:08:00,NAT,Necessary Action Taken,Saint Charles Ave & Broadway St (2D02),70118
H1231814,98,DRIVING WHILE UNDER INFLUENCE,3675792,517963,8/10/2014 01:56:41,,8/10/2014 03:10:34,NAT,Necessary Action Taken,Tchoupitoulas St & Louisiana Ave (6A03),70115
H1236314,98,DRIVING WHILE UNDER INFLUENCE,3675712,530436,8/10/2014 03:06:37,,8/10/2014 05:54:38,NAT,Necessary Action Taken,US90B E Onramp & Claiborne Onramp,
H1239914,98,DRIVING WHILE UNDER INFLUENCE,3671031,538298,8/10/2014 04:02:41,8/10/2014 04:03:09,8/10/2014 05:54:15,NAT,Necessary Action Taken,041XX Canal St,70119
H1241614,98,DRIVING WHILE UNDER INFLUENCE,3681854,521169,8/10/2014 04:39:44,,8/10/2014 05:41:05,NAT,Necessary Action Taken,Tchoupitoulas St & Felicity St,70130
D3157314,98,DRIVING WHILE UNDER INFLUENCE,3686371,525501,4/24/2014 03:36:00,4/24/2014 03:36:00,4/24/2014 03:37:16,RTF,REPORT TO FOLLOW,US90 E,
D3160114,98,DRIVING WHILE UNDER INFLUENCE,3666966,540663,4/24/2014 04:24:27,4/24/2014 04:24:27,4/24/2014 05:29:27,NAT,Necessary Action Taken,I-10 W & Metairie Rd,70118
B3601414,98,DRIVING WHILE UNDER INFLUENCE,3681727,530800,2/28/2014 10:23:54,,2/28/2014 12:56:14,NAT,Necessary Action Taken,Chartres St & Iberville St,70130
H1349214,98,DRIVING WHILE UNDER INFLUENCE,3681989,525175,8/11/2014 04:36:20,,8/11/2014 07:02:11,NAT,Necessary Action Taken,Tchoupitoulas Exit & Calliope St (6C01),
H1470014,98,DRIVING WHILE UNDER INFLUENCE,3671838,520990,8/12/2014 02:08:11,,8/12/2014 04:20:23,NAT,Necessary Action Taken,St Charles Ave & Palm Ter,70115
H1473614,98,DRIVING WHILE UNDER INFLUENCE,3698637,551781,8/12/2014 03:23:57,8/12/2014 03:23:57,8/12/2014 06:12:51,NAT,Necessary Action Taken,I10 W & Chef Menteur Blvd (7C01),70126
A0027714,98,DRIVING WHILE UNDER INFLUENCE,3674897,523160,1/1/2014 02:32:52,,1/1/2014 03:50:40,NAT,Necessary Action Taken,029XX Dryades St,70115
A3790614,98,DRIVING WHILE UNDER INFLUENCE,3673213,517613,1/31/2014 02:04:01,1/31/2014 02:04:01,1/31/2014 02:51:13,NAT,Necessary Action Taken,039XX Tchoupitoulas St,70115
A3791914,98,DRIVING WHILE UNDER INFLUENCE,3669665,517906,1/31/2014 02:19:12,1/31/2014 02:19:12,1/31/2014 03:07:20,NAT,Necessary Action Taken,Bordeaux St & Laurel St,70115
A3792114,98,DRIVING WHILE UNDER INFLUENCE,3691605,548827,1/31/2014 02:24:02,1/31/2014 02:24:02,1/31/2014 06:41:48,NAT,Necessary Action Taken,I10 E (3U01) & Louisa St,70126
A3795014,98,DRIVING WHILE UNDER INFLUENCE,3671802,518864,1/31/2014 03:08:00,,1/31/2014 04:21:59,NAT,Necessary Action Taken,Magazine St & Milan St,70115
D3293214,98,DRIVING WHILE UNDER INFLUENCE,3670789,534246,4/25/2014 01:56:44,4/25/2014 01:56:44,4/25/2014 03:11:47,NAT,Necessary Action Taken,I-10 W & Carrollton Airline Exit,70119
K2660014,98,DRIVING WHILE UNDER INFLUENCE,3689904,522586,11/22/2014 02:21:49,,11/22/2014 02:23:01,NAT,Necessary Action Taken,General De Gaulle Dr & L B Landry Ave,70114
D3299614,98,DRIVING WHILE UNDER INFLUENCE,3680241,519625,4/25/2014 04:08:59,4/25/2014 05:31:06,4/25/2014 05:42:26,NAT,Necessary Action Taken,023XX Tchoupitoulas St,70130
D3300014,98,DRIVING WHILE UNDER INFLUENCE,3666076,547432,4/25/2014 04:23:47,,4/25/2014 05:42:46,NAT,Necessary Action Taken,Veterans Blvd & Pontchartrain Blvd (3B03),
A3797114,98,DRIVING WHILE UNDER INFLUENCE,3681023,536110,1/31/2014 04:00:21,,1/31/2014 06:01:59,NAT,Necessary Action Taken,Governor Nicholls St & N Claiborne Ave (1F02),
D3301314,98,DRIVING WHILE UNDER INFLUENCE,3677310,518396,4/25/2014 04:45:55,,4/25/2014 06:21:24,NAT,Necessary Action Taken,031XX Tchoupitoulas St,70115
H1604814,98,DRIVING WHILE UNDER INFLUENCE,3670863,520325,8/13/2014 01:41:11,8/13/2014 01:41:11,8/13/2014 03:15:38,NAT,Necessary Action Taken,Napoleon Ave (2F04) & Prytania St,70115
H1608114,98,DRIVING WHILE UNDER INFLUENCE,3660275,528130,8/13/2014 02:40:36,,8/13/2014 03:33:30,NAT,Necessary Action Taken,Cambronne St & Leake Ave,70118
H1612214,98,DRIVING WHILE UNDER INFLUENCE,3681340,536548,8/13/2014 04:20:41,,8/13/2014 06:21:55,NAT,Necessary Action Taken,Esplanade Ave & N Claiborne Ave (1A01),
H1625914,98,DRIVING WHILE UNDER INFLUENCE,3681843,521129,8/13/2014 08:30:43,,8/13/2014 11:26:06,NAT,Necessary Action Taken,018XX Tchoupitoulas St,70130
B3686914,98,DRIVING WHILE UNDER INFLUENCE,3679874,526521,2/28/2014 21:28:12,2/28/2014 21:28:12,2/28/2014 22:56:52,NAT,Necessary Action Taken,Calliope St (6E04) & St Charles Ave,70130
